Property.URL,Building.Class,Building.Size,Corridor,Lot.Size,No of Rooms,No..Stories,Parking.Ratio,Price,Price.Per.Room,Property.Subtype,Property Type,Property URL ,Sale.Type,Year.Built,Year.Built.Renovated,Building.Size.SF,Price.Numeric,Price.per.SF,Latitude,Longitude
701-Pike-St-Marietta-OH28058231,B,"56,504 SF",Interior,6.00 AC,108,2,"1.05/1,000 SF","$2,499,999 ","$23,148 ",Hotel,Hospitality,https://www.loopnet.com/Listing/701-Pike-St-Marietta-OH/28058231/,Investment,1970,,56504,2499999,44.24,-81.4548436,39.415352
5225-Old-Lake-Rd-Geneva-OH29995449,C,"8,200 SF",Exterior,0.28 AC,12,1,"1.1/1,000 SF","$2,500,000 ","$208,333 ",Hotel,Hospitality,https://www.loopnet.com/Listing/5225-Old-Lake-Rd-Geneva-OH/29995449/,Investment,1960,,8200,2500000,304.88,-76.985557,42.8679836
135-N-7th-St-Zanesville-OH29751031,,,,,NA,NA,,,,,,https://www.loopnet.com/Listing/135-N-7th-St-Zanesville-OH/29751031/,,NA,,NA,NA,NA,-82.0042236,39.9428657
1860-Austinburg-Rd-Austinburg-OH30950113,C,"62,376 SF",Interior,10.00 AC,118,2,"2.04/1,000 SF","$4,760,000 ","$40,339 ",Hotel,Hospitality,https://www.loopnet.com/Listing/1860-Austinburg-Rd-Austinburg-OH/30950113/,Investment,NA,1963/2023,62376,4760000,76.31,-80.8524438,41.7898332
741-US-Highway-250-Ashland-OH30141170,C,"34,814 SF",Interior,1.68 AC,60,2,"2.24/1,000 SF","$4,200,000 ","$70,000 ",Hotel,Hospitality,https://www.loopnet.com/Listing/741-US-Highway-250-Ashland-OH/30141170/,Investment,1996,,34814,4200000,120.64,-82.3182178,40.8686675
1066-1st-Ave-Gallipolis-OH30168598,C,"2,938 SF",Exterior,0.39 AC,11,1,,"$950,000 ","$86,364 ",Hotel,Hospitality,https://www.loopnet.com/Listing/1066-1st-Ave-Gallipolis-OH/30168598/,Investment,1940,,2938,950000,323.35,-82.1904175,38.8168831
1901-Clark-Ave-Wellsville-OH28853700,,,,,NA,NA,,,,,,https://www.loopnet.com/Listing/1901-Clark-Ave-Wellsville-OH/28853700/,,NA,,NA,NA,NA,-80.664879,40.5957313
4029-Marlane-Dr-Grove-City-OH27811133,C,"16,623 SF",Exterior,1.21 AC,43,2,"4.51/1,000 SF","$2,600,000 ","$60,465 ",Hotel,Hospitality,https://www.loopnet.com/Listing/4029-Marlane-Dr-Grove-City-OH/27811133/,Investment,NA,1978/2009,16623,2600000,156.41,-83.0518692,39.8799196
1726-E-Wyandot-Ave-Upper-Sandusky-OH29410698,,,,,NA,NA,,,,,,https://www.loopnet.com/Listing/1726-E-Wyandot-Ave-Upper-Sandusky-OH/29410698/,,NA,,NA,NA,NA,-83.2404381,40.8360265
6750-Roosevelt-Pky-Middletown-OH31004805,C,"29,286 SF",Interior,1.16 AC,57,3,,,,Hotel,Hospitality,https://www.loopnet.com/Listing/6750-Roosevelt-Pky-Middletown-OH/31004805/,Investment,1994,,29286,NA,NA,-84.3320413,39.4926446
521-W-Dussel-Dr-Maumee-OH30964683,B,"29,748 SF",Interior,1.38 AC,62,3,"3.86/1,000 SF",,,Hotel,Hospitality,https://www.loopnet.com/Listing/521-W-Dussel-Dr-Maumee-OH/30964683/,Investment,1995,,29748,NA,NA,-83.6819519,41.5808464
2450-Dryden-Rd-Moraine-OH30541480,C,"24,960 SF",Exterior,1.27 AC,75,2,"3.37/1,000 SF",,,Hotel,Hospitality,https://www.loopnet.com/Listing/2450-Dryden-Rd-Moraine-OH/30541480/,Investment,NA,1975/2023,24960,NA,NA,-84.2173815,39.7198344
415-Milan-Ave-Norwalk-OH29919348,,,,,NA,NA,,,,,,https://www.loopnet.com/Listing/415-Milan-Ave-Norwalk-OH/29919348/,,NA,,NA,NA,NA,-82.6095517,41.2732121
5169-Lake-Rd-Geneva-On-The-Lake-OH29995570,C,"3,600 SF",Exterior,0.18 AC,17,1,,"$1,999,999 ","$117,647 ",Hotel,Hospitality,https://www.loopnet.com/Listing/5169-Lake-Rd-Geneva-On-The-Lake-OH/29995570/,Investment,1967,,3600,1999999,555.56,-80.9412714,41.8614741
887-Morse-Rd-Columbus-OH29583781,C,"43,992 SF",Exterior,2.36 AC,134,3,"3.73/1,000 SF","$3,850,000 ","$28,731 ",Hotel,Hospitality,https://www.loopnet.com/Listing/887-Morse-Rd-Columbus-OH/29583781/,Investment,NA,1989/2012,43992,3850000,87.52,-82.9965612,40.0606971
136-N-Park-Ave-Warren-OH29481040,,,,,NA,NA,,,,,,https://www.loopnet.com/Listing/136-N-Park-Ave-Warren-OH/29481040/,,NA,,NA,NA,NA,-80.8175791,41.2366442
1830-US-Highway-52-Aberdeen-OH29919212,C,"72,479 SF",Exterior,4.01 AC,61,2,,"$1,700,000 ","$27,869 ",Hotel,Hospitality,https://www.loopnet.com/Listing/1830-US-Highway-52-Aberdeen-OH/29919212/,Investment,1950,,72479,1700000,23.46,-83.7720076,38.672199
541-W-Dussel-Dr-Maumee-OH30964677,B,"29,000 SF",Interior,0.25 AC,62,3,"3.79/1,000 SF",,,Hotel,Hospitality,https://www.loopnet.com/Listing/541-W-Dussel-Dr-Maumee-OH/30964677/,Investment,NA,1996/2022,29000,NA,NA,-83.6834043,41.5812009
4140-Old-Highway-77-D-Davis-OK15682032,C,"32,000 SF",Exterior,4.34 AC,50,1,,,,Hotel,Hospitality,https://www.loopnet.com/Listing/4140-Old-Highway-77-D-Davis-OK/15682032/,Investment,1950,,32000,NA,NA,-97.5120119,25.9634319
3296-S-Muskogee-Ave-Tahlequah-OK31085327,C,"15,838 SF",Interior,3.66 AC,42,2,"2.77/1,000 SF","$1,800,000 ","$42,857 ",Hotel,Hospitality,https://www.loopnet.com/Listing/3296-S-Muskogee-Ave-Tahlequah-OK/31085327/,Investment,2004,,15838,1800000,113.65,-94.9773442,35.878847
20965-W-921-Rd-Cookson-OK26783382,C,"6,398 SF",Interior,9.00 AC,6,2,,"$1,290,000 ","$215,000 ",Bed and Breakfast,Hospitality,https://www.loopnet.com/Listing/20965-W-921-Rd-Cookson-OK/26783382/,Investment,2007,,6398,1290000,201.63,-94.9323138,35.6809654
114-E-Broadway-Ave-Enid-OK27355908,C,"80,000 SF",Exterior,0.26 AC,72,15,"1.25/1,000 SF",,,HotelGeneral Retail Storefront Retail/OfficeOffice Office Residential,Hospitality,https://www.loopnet.com/Listing/114-E-Broadway-Ave-Enid-OK/27355908/,Investment,2026,,80000,NA,NA,-97.8774934,36.3969193
7852-W-Parkway-Blvd-Tulsa-OK30889781,B,"40,000 SF",Interior,2.36 AC,70,3,"10/1,000 SF","$6,249,570 ","$89,280 ",Hotel,Hospitality,https://www.loopnet.com/Listing/7852-W-Parkway-Blvd-Tulsa-OK/30889781/,Investment,2001,,40000,6249570,156.24,-96.0802465,36.1453407
5285-W-6th-Ave-Stillwater-OK29383732,B,"53,472 SF",Interior,4.60 AC,77,4,"1.51/1,000 SF","$5,300,000 ","$68,831 ",Hotel,Hospitality,https://www.loopnet.com/Listing/5285-W-6th-Ave-Stillwater-OK/29383732/,Investment,2009,,53472,5300000,99.12,-97.130863,36.1143329
5010-W-6th-Ave-Stillwater-OK29476959,C,"27,066 SF",Exterior,2.09 AC,73,2,"2.62/1,000 SF","$2,250,000 ","$30,822 ",Hotel,Hospitality,https://www.loopnet.com/Listing/5010-W-6th-Ave-Stillwater-OK/29476959/,Investment,NA,1983/2023,27066,2250000,83.13,-97.1264334,36.117092
4120-Williams-Ave-Woodward-OK30909887,C,"26,066 SF",Exterior,1.66 AC,60,2,"4.88/1,000 SF","$1,350,000 ","$22,500 ",Hotel,Hospitality,https://www.loopnet.com/Listing/4120-Williams-Ave-Woodward-OK/30909887/,Investment,NA,1982/2014,26066,1350000,51.79,-99.3706471,36.4060254
201-SE-Interstate-Dr-Lawton-OK25940723,B,"52,928 SF",Interior,1.50 AC,74,4,"1.47/1,000 SF","$6,500,000 ","$87,838 ",Hotel,Hospitality,https://www.loopnet.com/Listing/201-SE-Interstate-Dr-Lawton-OK/25940723/,Investment,NA,2008/2021,52928,6500000,122.81,-98.378201,34.6066097
1106-S-Broadway-St-Laverne-OK28774948,C,"4,378 SF",Exterior,1.57 AC,10,1,"5.03/1,000 SF","$399,000 ","$39,900 ",Hotel,Hospitality,https://www.loopnet.com/Listing/1106-S-Broadway-St-Laverne-OK/28774948/,Investment,1963,,4378,399000,91.14,-99.8921483,36.6970039
700-E-Krayler-Ave-Stillwater-OK29773470,B,"60,423 SF",Interior,1.84 AC,74,3,"1.52/1,000 SF",,,Hotel,Hospitality,https://www.loopnet.com/Listing/700-E-Krayler-Ave-Stillwater-OK/29773470/,Investment,2016,,60423,NA,NA,-97.0500543,36.1411521
4400-Highline-Blvd-Oklahoma-City-OK29231969,C,"40,590 SF",Interior,2.59 AC,83,3,"2.22/1,000 SF","$4,100,000 ","$49,398 ",Hotel,Hospitality,https://www.loopnet.com/Listing/4400-Highline-Blvd-Oklahoma-City-OK/29231969/,Investment,1998,,40590,4100000,101.01,-97.5987408,35.456532
23-N-67th-East-Ave-Tulsa-OK29647255,B,"28,047 SF",Interior,2.29 AC,72,3,"2.57/1,000 SF","$5,300,000 ","$73,611 ",Hotel,Hospitality,https://www.loopnet.com/Listing/23-N-67th-East-Ave-Tulsa-OK/29647255/,Investment,2008,,28047,5300000,188.97,-95.901786,36.1616436
419-S-George-Nigh-Expy-Mcalester-OK31012734,C,"61,470 SF",Exterior,4.75 AC,135,2,,"$3,200,000 ","$23,704 ",Hotel,Hospitality,https://www.loopnet.com/Listing/419-S-George-Nigh-Expy-Mcalester-OK/31012734/,Investment,1994,,61470,3200000,52.06,-95.7454102,34.9210285
516-NW-8th-St-Oklahoma-City-OK27975855,B,"23,856 SF",Exterior,0.58 AC,29,3,"1.47/1,000 SF","$3,750,000 ","$129,310 ",Hotel,Hospitality,https://www.loopnet.com/Listing/516-NW-8th-St-Oklahoma-City-OK/27975855/,Investment,NA,1963/2022,23856,3750000,157.19,-97.5219577,35.4759094
1122-Douglas-Ave-Beaver-OK25682378,C,"4,979 SF",Exterior,0.46 AC,14,1,"5.22/1,000 SF","$480,000 ","$34,286 ",Hotel,Hospitality,https://www.loopnet.com/Listing/1122-Douglas-Ave-Beaver-OK/25682378/,Investment,1963,,4979,480000,96.4,-100.5191092,36.8055109
221-W-Main-St-Tishomingo-OK30288763,B,"4,800 SF",Interior,0.16 AC,7,2,,"$2,250,000 ","$321,429 ",Hotel,Hospitality,https://www.loopnet.com/Listing/221-W-Main-St-Tishomingo-OK/30288763/,Investment,NA,1901/2013,4800,2250000,468.75,-96.6789736,34.2359137
1413-Neptune-Dr-Clinton-OK26629156,B,"45,000 SF",Interior,4.00 AC,94,3,,"$1,150,000 ","$12,234 ",Hotel,Hospitality,https://www.loopnet.com/Listing/1413-Neptune-Dr-Clinton-OK/26629156/,Investment,1978,,45000,1150000,25.56,-98.9774598,35.4949722
1701-N-32nd-St-Muskogee-OK29600480,B,"24,993 SF",Interior,2.08 AC,69,3,"2.76/1,000 SF","$5,500,000 ","$79,710 ",Hotel,Hospitality,https://www.loopnet.com/Listing/1701-N-32nd-St-Muskogee-OK/29600480/,Investment,2013,,24993,5500000,220.06,-95.4035528,35.7666602
2325-Oklahoma-Ave-Woodward-OK30911628,C,"37,769 SF",Exterior,1.77 AC,67,2,"2.32/1,000 SF","$2,225,000 ","$33,209 ",Hotel,Hospitality,https://www.loopnet.com/Listing/2325-Oklahoma-Ave-Woodward-OK/30911628/,Investment,NA,2010/2014,37769,2225000,58.91,-99.4090083,36.4331501
33656-Old-Indian-Afton-OK29121257,B,"4,500 SF",Exterior,10.90 AC,6,1,,"$950,000 ","$158,333 ",HotelSpecialty Lodge Meeting HallSpecialty Trailer Camper Park,Hospitality,https://www.loopnet.com/Listing/33656-Old-Indian-Afton-OK/29121257/,Investment or Owner User,2000,,4500,950000,211.11,-94.9630171,36.693687
53460-Highway-31-Summer-Lake-OR30947640,B,"7,385 SF",Exterior,6.47 AC,11,1,"3.33/1,000 SF","$950,000 ","$86,364 ",Hotel,Hospitality,https://www.loopnet.com/Listing/53460-Highway-31-Summer-Lake-OR/30947640/,Investment,NA,1946/2005,7385,950000,128.64,-120.7874213,42.9557612
2116-Adams-Ave-La-Grande-OR29942396,,,,,NA,NA,,,,,,https://www.loopnet.com/Listing/2116-Adams-Ave-La-Grande-OR/29942396/,,NA,,NA,NA,NA,-118.0818682,45.3204878
95500-Highway-101-S-Yachats-OR30793156,C,"3,674 SF",Exterior,2.21 AC,8,2,"2.72/1,000 SF","$1,950,000 ","$243,750 ",Hotel,Hospitality,https://www.loopnet.com/Listing/95500-Highway-101-S-Yachats-OR/30793156/,Investment,1955,,3674,1950000,530.76,-124.1102993,44.2309197
304-Bakeoven-Rd-Maupin-OR28263347,C,"15,620 SF",Exterior,8.74 AC,25,2,,"$4,950,000 ","$198,000 ",Hotel,Hospitality,https://www.loopnet.com/Listing/304-Bakeoven-Rd-Maupin-OR/28263347/,Investment,1970,,15620,4950000,316.9,-121.0749285,45.1726301
19821-Highway-58-Crescent-Lake-OR29442815,C,"7,152 SF",Exterior,5.00 AC,23,2,"4.89/1,000 SF","$2,550,000 ","$110,870 ",Hotel,Hospitality,https://www.loopnet.com/Listing/19821-Highway-58-Crescent-Lake-OR/29442815/,Investment,1984,,7152,2550000,356.54,-121.9358655,43.50892
1103-3rd-Avenue-Mosier-OR30692428,B,"2,400 SF",Exterior,0.34 AC,4,1,"3.75/1,000 SF","$2,600,000 ","$650,000 ",Hotel,Hospitality,https://www.loopnet.com/Listing/1103-3rd-Avenue-Mosier-OR/30692428/,Investment,2022,,2400,2600000,1083.33,-121.4025468,45.6833237
42705-N-Umpqua-Hwy-Idleyld-Park-OR23518410,,,,,NA,NA,,,,,,https://www.loopnet.com/Listing/42705-N-Umpqua-Hwy-Idleyld-Park-OR/23518410/,,NA,,NA,NA,NA,-122.7436665,43.3406521
94200-Harlow-St-Gold-Beach-OR28038351,,,,,NA,NA,,,,,,https://www.loopnet.com/Listing/94200-Harlow-St-Gold-Beach-OR/28038351/,,NA,,NA,NA,NA,-124.4200173,42.4141814
616-Mill-St-Maupin-OR30269761,B,"3,000 SF",Exterior,0.75 AC,13,1,"6.67/1,000 SF","$950,000 ","$73,077 ",Hotel,Hospitality,https://www.loopnet.com/Listing/616-Mill-St-Maupin-OR/30269761/,Investment,1977,,3000,950000,316.67,-121.0878812,45.1749176
109480-Highway-97-N-Chemult-OR30520163,C,"6,106 SF",Interior,1.73 AC,20,1,"3.44/1,000 SF","$950,000 ","$47,500 ",Hotel,Hospitality,https://www.loopnet.com/Listing/109480-Highway-97-N-Chemult-OR/30520163/,Investment,1973,,6106,950000,155.58,-121.7836484,43.2161792
615-E-Idaho-Ave-Ontario-OR29370058,C,"25,571 SF",Exterior,1.65 AC,68,2,"3.13/1,000 SF","$2,950,000 ","$43,382 ",Hotel,Hospitality,https://www.loopnet.com/Listing/615-E-Idaho-Ave-Ontario-OR/29370058/,Investment,NA,1965/2013,25571,2950000,115.37,-116.9537725,44.0254322
109455-Highway-97-N-Chemult-OR29157491,,,,,NA,NA,,,,,,https://www.loopnet.com/Listing/109455-Highway-97-N-Chemult-OR/29157491/,,NA,,NA,NA,NA,-121.7826346,43.2160294
695-Campbell-St-Baker-City-OR30541019,C,"10,809 SF",Exterior,1.66 AC,54,2,,"$2,200,000 ","$40,741 ",Hotel,Hospitality,https://www.loopnet.com/Listing/695-Campbell-St-Baker-City-OR/30541019/,Investment,NA,1978/2022,10809,2200000,203.53,-117.8145727,44.7809741
34910-Highway-53-Nehalem-OR30627859,C,"4,947 SF",Exterior,1.18 AC,6,2,"4.04/1,000 SF","$2,150,000 ","$358,333 ",Bed and Breakfast,Hospitality,https://www.loopnet.com/Listing/34910-Highway-53-Nehalem-OR/30627859/,Investment,NA,1940/2023,4947,2150000,434.61,-123.8577578,45.7095041
Jacksonville-Inn31094468,,,,,NA,NA,,,,,,https://www.loopnet.com/Listing/Jacksonville-Inn/31094468/,,NA,,NA,NA,NA,-81.655651,30.3321838
902-NW-Bayshore-Dr-Waldport-OR30176809,,,,,NA,NA,,,,,,https://www.loopnet.com/Listing/902-NW-Bayshore-Dr-Waldport-OR/30176809/,,NA,,NA,NA,NA,-124.0792063,44.4319296
21501-E-Odell-Rd-Crescent-Lake-OR30766448,,,,,NA,NA,,,,,,https://www.loopnet.com/Listing/21501-E-Odell-Rd-Crescent-Lake-OR/30766448/,,NA,,NA,NA,NA,-121.9644774,43.5494801
345-NW-2nd-St-Corvallis-OR29036928,C,"22,156 SF",Interior,0.96 AC,67,2,"3.25/1,000 SF","$7,500,000 ","$111,940 ",Hotel,Hospitality,https://www.loopnet.com/Listing/345-NW-2nd-St-Corvallis-OR/29036928/,Investment,NA,1979/2012,22156,7500000,338.51,-123.2578887,44.5663164
11340-SW-60th-Ave-Portland-OR30512327,B,"31,882 SF",Interior,1.01 AC,53,3,"1.88/1,000 SF","$7,500,000 ","$141,509 ",Hotel,Hospitality,https://www.loopnet.com/Listing/11340-SW-60th-Ave-Portland-OR/30512327/,Investment,2000,,31882,7500000,235.24,-122.7379652,45.442893
1175-2nd-St-SE-Bandon-OR29649188,,,,,NA,NA,,,,,,https://www.loopnet.com/Listing/1175-2nd-St-SE-Bandon-OR/29649188/,,NA,,NA,NA,NA,-124.3957818,43.1192814
2020-Leigh-Way-White-City-OR29112890,B,"45,179 SF",Interior,1.74 AC,72,4,"2.17/1,000 SF","$9,500,000 ","$131,944 ",Hotel,Hospitality,https://www.loopnet.com/Listing/2020-Leigh-Way-White-City-OR/29112890/,Investment,NA,2008/2022,45179,9500000,210.27,-122.8538223,42.424232
40-SE-Heimrich-St-Dufur-OR28059026,B,"7,200 SF",Interior,1.05 AC,20,3,,"$1,100,000 ","$55,000 ",Hotel,Hospitality,https://www.loopnet.com/Listing/40-SE-Heimrich-St-Dufur-OR/28059026/,Investment,1907,,7200,1100000,152.78,-121.1312982,45.4504418
650-Resica-Falls-Rd-East-Stroudsburg-PA28522069,B,"12,978 SF",Interior,10.52 AC,13,3,"1.16/1,000 SF","$1,350,000 ","$103,846 ",Bed and Breakfast,Hospitality,https://www.loopnet.com/Listing/650-Resica-Falls-Rd-East-Stroudsburg-PA/28522069/,Investment,1937,,12978,1350000,104.02,-75.1144248,41.0710209
8040-Perry-Hwy-Erie-PA29639018,B,"66,112 SF",Exterior,7.91 AC,110,2,"2.87/1,000 SF","$3,800,000 ","$34,545 ",Hotel,Hospitality,https://www.loopnet.com/Listing/8040-Perry-Hwy-Erie-PA/29639018/,Investment,NA,1963/2012,66112,3800000,57.48,-80.0417911,42.0679041
2103-N-Susquehanna-Trl-Selinsgrove-PA30397163,C,"5,000 SF",Exterior,0.74 AC,17,2,"2/1,000 SF","$674,000 ","$39,647 ",Hotel,Hospitality,https://www.loopnet.com/Listing/2103-N-Susquehanna-Trl-Selinsgrove-PA/30397163/,Investment,NA,1974/2004,5000,674000,134.8,-76.8339586,40.8368458
2735-PA-390-Canadensis-PA30994208,C,"8,482 SF",Interior,3.30 AC,14,2,,"$1,850,000 ","$132,143 ",Bed and Breakfast,Hospitality,https://www.loopnet.com/Listing/2735-PA-390-Canadensis-PA/30994208/,Investment,1842,,8482,1850000,218.11,-75.2385855,41.2122284
8040-Perry-Hwy-Erie-PA29639519,C,"41,480 SF",Interior,6.88 AC,93,4,,"$2,900,000 ","$31,183 ",Hotel,Hospitality,https://www.loopnet.com/Listing/8040-Perry-Hwy-Erie-PA/29639519/,Investment,1964,,41480,2900000,69.91,-80.0417911,42.0679041
3370-Harvest-Dr-Gordonville-PA18255161,B,"22,285 SF",Exterior,4.20 AC,50,2,"2.6/1,000 SF","$3,500,000 ","$70,000 ",Hotel,Hospitality,https://www.loopnet.com/Listing/3370-Harvest-Dr-Gordonville-PA/18255161/,Investment,1968,,22285,3500000,157.06,-76.117775,40.029161
1582-Bee-Line-Hwy-Du-Bois-PA30018353,B,"56,700 SF",Interior,4.57 AC,96,2,"3.76/1,000 SF",,,Hotel,Hospitality,https://www.loopnet.com/Listing/1582-Bee-Line-Hwy-Du-Bois-PA/30018353/,Investment,NA,1995/2012,56700,NA,NA,-78.7229538,41.1216209
17089-Boot-Jack-Rd-Ridgway-PA27696259,C,"26,581 SF",Exterior,1.60 AC,44,2,"3.99/1,000 SF","$949,000 ","$21,568 ",Hotel,Hospitality,https://www.loopnet.com/Listing/17089-Boot-Jack-Rd-Ridgway-PA/27696259/,Investment,1953,,26581,949000,35.7,-78.7066618,41.405557
1442-Coraopolis-Heights-Rd-Moon-Township-PA30822390,B,"8,250 SF",Interior,32.00 AC,11,3,"8.61/1,000 SF","$5,000,000 ","$454,545 ",Bed and BreakfastHospitality Hotel,Hospitality,https://www.loopnet.com/Listing/1442-Coraopolis-Heights-Rd-Moon-Township-PA/30822390/,Investment,NA,1927/2020,8250,5.00E+06,606.06,-80.1872014,40.50706
138-Marsh-Rd-Somerset-PA30018593,B,"23,156 SF",Interior,1.45 AC,57,3,"0.8/1,000 SF",,,Hotel,Hospitality,https://www.loopnet.com/Listing/138-Marsh-Rd-Somerset-PA/30018593/,Investment,1997,,23156,NA,NA,-79.0798067,40.0183114
117-W-Bridge-St-New-Hope-PA29110424,B,"5,977 SF",Interior,0.39 AC,18,3,"1.51/1,000 SF","$2,295,000 ","$127,500 ",Bed and BreakfastHospitality Hotel,Hospitality,https://www.loopnet.com/Listing/117-W-Bridge-St-New-Hope-PA/29110424/,Investment,1833,,5977,2295000,383.97,-74.9569659,40.363858
401-Peach-St-Erie-PA29941437,C,"8,394 SF",Interior,0.24 AC,7,2,"1.19/1,000 SF","$745,000 ","$106,429 ",Bed and BreakfastOffice MedicalOffice Office ResidentialOffice Office Live Work Unit,Hospitality,https://www.loopnet.com/Listing/401-Peach-St-Erie-PA/29941437/,Investment or Owner User,1872,,8394,745000,88.75,-80.0875828,42.130858
1095-Wayne-Ave-Chambersburg-PA29926446,C,"91,028 SF",Interior,6.78 AC,124,2,"2.32/1,000 SF","$6,200,000 ","$50,000 ",Hotel,Hospitality,https://www.loopnet.com/Listing/1095-Wayne-Ave-Chambersburg-PA/29926446/,Investment,NA,1969/2023,91028,6200000,68.11,-77.6472588,39.9118752
6325-Carlisle-Pike-Mechanicsburg-PA30818610,B,"11,399 SF",Interior,3.15 AC,109,4,"9.39/1,000 SF","$8,400,000 ","$77,064 ",Hotel,Hospitality,https://www.loopnet.com/Listing/6325-Carlisle-Pike-Mechanicsburg-PA/30818610/,Investment,1988,,11399,8400000,736.91,-77.0011695,40.2468725
111-W-Bridge-St-New-Hope-PA29110151,B,"6,500 SF",Interior,1.17 AC,18,3,"3.69/1,000 SF","$2,750,000 ","$152,778 ",Bed and BreakfastHospitality Hotel,Hospitality,https://www.loopnet.com/Listing/111-W-Bridge-St-New-Hope-PA/29110151/,Investment,NA,1870/2003,6500,2750000,423.08,-74.9567927,40.3638252
600-Manor-Rd-Coatesville-PA31079972,B,"74,156 SF",Interior,9.49 AC,125,4,"2.29/1,000 SF",,,Hotel,Hospitality,https://www.loopnet.com/Listing/600-Manor-Rd-Coatesville-PA/31079972/,Investment,2012,,74156,NA,NA,-75.8214825,39.9989434
271-Ridge-Rd-Spring-City-PA28999870,C,"3,009 SF",Exterior,4.55 AC,10,2,"2.99/1,000 SF","$1,450,000 ","$145,000 ",Hotel,Hospitality,https://www.loopnet.com/Listing/271-Ridge-Rd-Spring-City-PA/28999870/,Investment,NA,1900/2011,3009,1450000,481.89,-75.5904132,40.1634437
127-Jefferson-Ct-West-Newton-PA24662266,C,"9,837 SF",Interior,0.71 AC,14,2,"1.33/1,000 SF","$750,000 ","$53,571 ",Bed and Breakfast,Hospitality,https://www.loopnet.com/Listing/127-Jefferson-Ct-West-Newton-PA/24662266/,Investment,NA,1920/2000,9837,750000,76.24,-79.769842,40.2131002
8857-University-Blvd-Coraopolis-PA30205359,C,"17,004 SF",Exterior,3.23 AC,25,2,"1.76/1,000 SF","$3,000,000 ","$120,000 ",Hotel,Hospitality,https://www.loopnet.com/Listing/8857-University-Blvd-Coraopolis-PA/30205359/,Investment,NA,1965/2020,17004,3.00E+06,176.43,-80.2221843,40.5046833
16-Trinity-Point-Dr-Washington-PA30885075,B,"50,292 SF",Interior,1.94 AC,86,4,"1.49/1,000 SF","$5,900,000 ","$68,605 ",Hotel,Hospitality,https://www.loopnet.com/Listing/16-Trinity-Point-Dr-Washington-PA/30885075/,Investment,NA,2000/2012,50292,5900000,117.31,-80.2243324,40.1827231
164-Fort-Couch-Rd-Pittsburgh-PA29842310,B,"383,202 SF",Interior,5.41 AC,179,9,"1.06/1,000 SF",,,Hotel,Hospitality,https://www.loopnet.com/Listing/164-Fort-Couch-Rd-Pittsburgh-PA/29842310/,Investment,NA,1969/2017,383202,NA,NA,-80.0529394,40.3458204
316-W-Crawford-Ave-Connellsville-PA28753771,B,"5,000 SF",Interior,0.14 AC,5,3,,"$395,000 ","$79,000 ",Bed and Breakfast,Hospitality,https://www.loopnet.com/Listing/316-W-Crawford-Ave-Connellsville-PA/28753771/,Investment,1920,,5000,395000,79,-79.5946468,40.0175312
218-222-Route-590-Greeley-PA27554813,C,"9,402 SF",Interior,6.00 AC,12,3,"3.19/1,000 SF","$950,000 ","$79,167 ",Hotel,Hospitality,https://www.loopnet.com/Listing/218-222-Route-590-Greeley-PA/27554813/,Investment,1920,,9402,950000,101.04,-75.0012821,41.4312995
4466-Jefferson-Davis-Hwy-North-Augusta-SC30367314,C,"14,653 SF",Exterior,1.84 AC,22,1,"1.77/1,000 SF","$699,000 ","$31,773 ",Hotel,Hospitality,https://www.loopnet.com/Listing/4466-Jefferson-Davis-Hwy-North-Augusta-SC/30367314/,Investment,1982,,14653,699000,47.7,-81.9021399,33.5041989
Sea-Mist-Resort-41-Parcels25103206,,,,,NA,NA,,,,,,https://www.loopnet.com/Listing/Sea-Mist-Resort-41-Parcels/25103206/,Investment,NA,,NA,NA,NA,-70.4863947,41.6105216
5059-N-Arco-Ln-Charleston-SC30766566,B,"20,250 SF",Exterior,2.67 AC,126,3,"6.07/1,000 SF","$13,986,000 ","$111,000 ",Hotel,Hospitality,https://www.loopnet.com/Listing/5059-N-Arco-Ln-Charleston-SC/30766566/,Investment,NA,1996/2012,20250,13986000,690.67,-80.0151728,32.873569
2711-S-Ocean-Blvd-Myrtle-Beach-SC29769042,C,"30,288 SF",Exterior,0.43 AC,41,4,"1.74/1,000 SF","$5,750,000 ","$140,244 ",Hotel,Hospitality,https://www.loopnet.com/Listing/2711-S-Ocean-Blvd-Myrtle-Beach-SC/29769042/,Investment,NA,1969/2022,30288,5750000,189.84,-78.9138209,33.6624957
2756-Laurens-Rd-Greenville-SC31114334,C,"52,508 SF",Interior,3.43 AC,116,4,"2.44/1,000 SF","$21,053,238 ","$181,493 ",Hotel,Hospitality,https://www.loopnet.com/Listing/2756-Laurens-Rd-Greenville-SC/31114334/,Investment,NA,1980/2019,52508,21053238,400.95,-82.3402436,34.8154072
1012-N-Waccamaw-Dr-Garden-City-SC29287280,C,,,1.14 AC,NA,NA,"0.59/1,000 SF","$669,000 ",,Hotel,Hospitality (Condo),https://www.loopnet.com/Listing/1012-N-Waccamaw-Dr-Garden-City-SC/29287280/,Investment,1985,,NA,669000,NA,-78.9916654,33.5843172
1304-1404-N-Ocean-Blvd-Myrtle-Beach-SC30995184,B,"60,433 SF",Interior,1.92 AC,159,11,"2.65/1,000 SF",,,Hotel,Hospitality,https://www.loopnet.com/Listing/1304-1404-N-Ocean-Blvd-Myrtle-Beach-SC/30995184/,Investment,1973,,60433,NA,NA,-78.875844,33.6952455
